Id	Nombre	Tipo	Áreas	Departamento	Dirección	Accesibilidad	Aforo	Boca de escenario	Profundidad	Altura	Piso	Equipamiento lumínico	Equipamiento de Sonido	Contacto	teléfono contacto	Página web/Dir.de Cultura
1421	AGADU	Teatro	Teatro	Montevideo	Canelones 1122											
1422	Alianza Cultural Uruguay-Estados Unidos	Teatro	Teatro	Montevideo	Paraguay 1217											
1423	Anglo ( Italia Fausta )	Teatro	Teatro	Montevideo	San Jose 1426											
1424	Arteatro	Teatro	Teatro	Montevideo	Canelones 1136											
1425	Asociación Cristiana de Jóvenes	Teatro	Teatro	Montevideo	Colonia 1870											
1426	Ateneo de Montevideo	Teatro	Teatro	Montevideo	Plaza Cagancha 1157											
1427	Auditorio Adela Reta. Complejo del SODRE	Teatro	Teatro	Montevideo	Andes esquina Mercedes											
1428	Auditorio Casa de la Cultura	Teatro	Teatro	Soriano	Wilson Ferreira e Ituzango											
1429	Auditorio del Municipio de Quebracho	Teatro	Teatro	Paysandú	Calle Artigas casi 25											
1430	Auditorio Municipal	Teatro	Teatro	Paysandú	Dr Penza casi 18 de Julio											
1431	Auditorio Municipal y Biblioteca F. Dieste	Teatro	Teatro	Artigas	Lecueder 624			10	6	5	madera			Encargado de escenario Julio Diaz	99423172	Dr Luis Alberto Rodriguez          Dir.cultura@artigas.gub.uy
1432	Auditorio Nelly Goitiño	Teatro	Teatro	Montevideo	18 de julio 930											
1433	Auditorio termas de Guaviyú	Teatro	Teatro	Paysandú	Termas de Guaviyu											
1434	Bastión del Carmen	Teatro	Teatro	Colonia	Rivadavia 223											
1435	Biblioteca Municipal de Vichadero	Teatro	Teatro	Rivera	Bvar. Artigas 117											
1436	Casa de la Cultura de Maldonado (Museo San Fernando, Biblioteca Municipal, Sala de Teatro)	Teatro	Teatro	Maldonado	Rafael Perez del Puerto 745entre Sarandí y Roman Guerra											
1437	Casa de la Cultura de Vichadero	Teatro	Teatro	Rivera	Bvar. Artigas 117											
1438	Casa de la Cultura Juan Carlos Barrios	Teatro	Teatro	Rocha	Calle Jose Rodriguez n114											
1439	Centro - Bar Cultural Platea Sur	Teatro	Teatro	Montevideo	Bartolomé Mitre 1472											
1440	Centro Cultural Florencio Sánchez	Teatro	Teatro	Montevideo	Grecia 3281 esq Norte América											
